SZA,Es305,Es313
0,1.000000088,1
1,1.000000088,1
2,1.000000088,1
3,1.000000088,1
4,1.000000088,1
5,1.000000088,1
6,1.000000088,1
7,1.000000088,1
8,1.000000088,1
9,1.000000088,1
10,1.000000088,1
11,1.000000088,1
12,1.000000088,1
13,1.000000088,1
14,1.000000088,1
15,1.000000088,1
16,1.000000088,1
17,1.000000088,1
18,1.000000088,1
19,1.000000088,1
20,1.000000088,1
21,1.000000088,1
22,1.000000088,1
23,1.000000088,1
24,1.000000088,1
25,1.000000088,1
26,1.000000088,1
27,1.000000088,1
28,1.000000088,1
29,1.000000088,1
30,1.000000088,1
31,1.000000088,1
32,1.000000088,1
33,1.000000088,1
34,1.000000088,1
35,1.000000088,1
36,1.000000088,1
37,1.000000088,1
38,1.000000088,1
39,1.000000088,1
40,1.000000088,1
41,1.000601788,1
42,1.001190081,1
43,1.001661182,1
44,1.002064219,1
45,1.003799397,1
46,1.006789326,1
47,1.009844242,1
48,1.012327258,1
49,1.014221453,1
50,1.016449805,1
51,1.020226833,1
52,1.024499928,1
53,1.02892055,1
54,1.033020134,1
55,1.038956818,1
56,1.04582154,1
57,1.053746217,1
58,1.060951056,1
59,1.06858512,1
60,1.078603267,1
61,1.088802758,1
62,1.099192078,1
63,1.109130094,1
64,1.11910134,1
65,1.131548066,1
66,1.143727941,1
67,1.156512297,1
68,1.173382464,1
69,1.192744482,1
70,1.217059426,1
71,1.247729609,1
72,1.281328617,1
73,1.314932087,1
74,1.341480749,1
75,1.360297855,1
76,1.37905795,1
77,1.394232848,1
78,1.397845363,1
79,1.386251808,1
80,1.358688375,1
81,1.317036858,1
82,1.264806396,1
83,1.210278038,1
84,1.165482755,1
85,1.135424457,1
86,1.113627115,1
87,1.095358966,1
88,1.079012672,1
89,1.06325831,1
90,1.047777411,1
91,1,1
92,1,1
93,1,1
94,1,1
95,1,1
96,1,1
97,1,1
98,1,1
99,1,1
100,1,1
101,1,1
102,1,1
103,1,1
104,1,1
105,1,1
106,1,1
107,1,1
108,1,1
109,1,1
110,1,1
111,1,1
112,1,1
113,1,1
114,1,1
115,1,1
116,1,1
117,1,1
118,1,1
119,1,1
120,1,1
121,1,1
122,1,1
123,1,1
124,1,1
125,1,1
126,1,1
127,1,1
128,1,1
129,1,1
130,1,1
131,1,1
132,1,1
133,1,1
134,1,1
135,1,1
136,1,1
137,1,1
138,1,1
139,1,1
140,1,1
141,1,1
142,1,1
143,1,1
144,1,1
145,1,1
146,1,1
147,1,1
148,1,1
149,1,1
150,1,1
151,1,1
152,1,1
153,1,1
154,1,1
155,1,1
156,1,1
157,1,1
158,1,1
159,1,1
160,1,1
161,1,1
162,1,1
163,1,1
164,1,1
165,1,1
166,1,1
167,1,1
168,1,1
169,1,1
170,1,1
171,1,1
172,1,1
173,1,1
174,1,1
175,1,1
176,1,1
177,1,1
178,1,1
179,1,1
180,1,1
